Acid_Type,Acid_Conc,Temp,Time,Yield
1,1.0,80,30,35.4
1,2.0,90,60,48.2
1,5.0,100,90,55.1
1,2.0,120,45,52.3
1,1.0,100,120,46.8
2,1.0,80,30,62.1
2,2.0,90,60,75.4
2,5.0,100,90,88.9
2,2.0,120,45,82.0
2,1.0,100,120,78.3
1,0.5,100,60,40.1
1,3.0,110,120,58.7
2,0.5,100,60,68.4
2,3.0,110,120,91.2
1,1.5,95,75,49.6
2,1.5,95,75,76.8
1,4.0,85,150,53.2
2,4.0,85,150,84.5
1,2.5,105,40,51.0
2,2.5,105,40,80.6
1,1.0,70,60,28.5
1,2.0,70,120,36.2
1,5.0,80,45,42.1
1,0.5,90,90,44.3
1,3.0,100,30,47.8
2,1.0,70,60,50.2
2,2.0,70,120,65.8
2,5.0,80,45,71.4
2,0.5,90,90,73.1
2,3.0,100,30,76.5
1,1.5,115,60,55.4
1,2.5,125,90,58.1
1,3.5,135,45,50.2
1,4.5,145,30,44.7
1,2.0,110,180,61.3
2,1.5,115,60,83.9
2,2.5,125,90,89.2
2,3.5,135,45,78.5
2,4.5,145,30,70.1
2,2.0,110,180,85.4
1,0.8,85,45,38.9
1,1.2,95,50,46.1
1,2.2,105,55,51.8
1,3.2,115,65,56.2
1,4.2,125,70,54.9
2,0.8,85,45,64.2
2,1.2,95,50,74.8
2,2.2,105,55,83.1
2,3.2,115,65,87.4
2,4.2,125,70,82.3
1,1.0,130,20,45.6
1,2.0,130,40,53.2
1,3.0,130,60,56.8
1,4.0,130,80,52.1
1,5.0,130,100,48.4
2,1.0,130,20,75.9
2,2.0,130,40,84.3
2,3.0,130,60,89.5
2,4.0,130,80,81.2
2,5.0,130,100,74.6
1,1.8,75,90,39.4
1,2.8,85,100,48.7
1,3.8,95,110,54.2
1,4.8,105,120,57.9
1,0.5,115,130,51.3
2,1.8,75,90,63.1
2,2.8,85,100,76.4
2,3.8,95,110,85.9
2,4.8,105,120,90.3
2,0.5,115,130,79.8
1,2.0,100,15,38.2
1,2.0,100,30,44.9
1,2.0,100,75,53.6
1,2.0,100,105,54.1
1,2.0,100,150,51.5
2,2.0,100,15,65.4
2,2.0,100,30,73.2
2,2.0,100,75,85.1
2,2.0,100,105,86.3
2,2.0,100,150,81.0
